2021-06-30 11:06:790 INFO  BasePage :31 - Launching Chrome Browser 
2021-06-30 11:06:768 INFO  HomePage :21 - Clicking on Bank Manager Button[[ChromeDriver: chrome on WINDOWS (872a57a0cd7b0b74ac65df8921c1c3c0)] -> xpath: //button[contains(text(),'Bank Manager Login')]]
2021-06-30 11:06:310 INFO  BankManagerLoginPage :21 - Clicking On Add Customer Button [[ChromeDriver: chrome on WINDOWS (872a57a0cd7b0b74ac65df8921c1c3c0)] -> xpath: //button[contains(text(),'Add Customer')]]
2021-06-30 11:06:333 INFO  AddCustomerPage :29 - Enter first name [[ChromeDriver: chrome on WINDOWS (872a57a0cd7b0b74ac65df8921c1c3c0)] -> xpath: //input[@placeholder='First Name']]
2021-06-30 11:06:554 INFO  AddCustomerPage :34 - Enter last name [[ChromeDriver: chrome on WINDOWS (872a57a0cd7b0b74ac65df8921c1c3c0)] -> xpath: //input[@placeholder='Last Name']]
2021-06-30 11:06:814 INFO  AddCustomerPage :40 - Enter Post Code [[ChromeDriver: chrome on WINDOWS (872a57a0cd7b0b74ac65df8921c1c3c0)] -> xpath: //input[@placeholder='Post Code']]
2021-06-30 11:06:860 INFO  AddCustomerPage :45 - Clicking On Add Customer Button [[ChromeDriver: chrome on WINDOWS (872a57a0cd7b0b74ac65df8921c1c3c0)] -> xpath: //button[@class='btn btn-default']]
2021-06-30 11:06:53 INFO  AddCustomerPage :53 - Getting text from Alert 
2021-06-30 12:06:891 INFO  BasePage :31 - Launching Chrome Browser 
2021-06-30 12:06:707 INFO  HomePage :21 - Clicking on Bank Manager Button[[ChromeDriver: chrome on WINDOWS (64cdbd413ea7db481ab04cc65cf948cf)] -> xpath: //button[contains(text(),'Bank Manager Login')]]
2021-06-30 12:06:988 INFO  BankManagerLoginPage :26 - Clicking on Open Account Tab [[ChromeDriver: chrome on WINDOWS (64cdbd413ea7db481ab04cc65cf948cf)] -> xpath: //button[contains(text(),'Open Account')]]
2021-06-30 12:06:539 INFO  BasePage :31 - Launching Chrome Browser 
